epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,374.184,1.63556,1.26815,1.12198,0.34853,0.32911,0.28931,0.15462,1.69494,1.33028,1.15696,0.000660045,0.000660045,0.000660045
43,382.586,1.6298,1.27075,1.11649,0.39273,0.35139,0.30869,0.16086,1.66241,1.31426,1.15328,0.000649046,0.000649046,0.000649046
44,391.034,1.63466,1.2799,1.12522,0.37826,0.30632,0.2941,0.15179,1.66911,1.3051,1.148,0.000638047,0.000638047,0.000638047
45,399.469,1.60384,1.27767,1.11876,0.41497,0.34426,0.31259,0.16457,1.64075,1.28031,1.13656,0.000627048,0.000627048,0.000627048
46,407.863,1.58833,1.24125,1.11395,0.40651,0.33661,0.31618,0.16614,1.62941,1.29445,1.13749,0.000616049,0.000616049,0.000616049
47,416.198,1.58258,1.22907,1.11125,0.38972,0.33404,0.32057,0.1682,1.62661,1.26948,1.13106,0.000605051,0.000605051,0.000605051
48,424.542,1.58276,1.23231,1.10744,0.41754,0.34045,0.32445,0.16668,1.61886,1.26315,1.13236,0.000594052,0.000594052,0.000594052
49,432.832,1.56602,1.22229,1.11328,0.42902,0.34021,0.32839,0.16981,1.64467,1.27384,1.15122,0.000583053,0.000583053,0.000583053
50,441.169,1.56475,1.20806,1.09338,0.40223,0.35122,0.32082,0.16806,1.62402,1.27598,1.13481,0.000572054,0.000572054,0.000572054
51,449.487,1.57183,1.22654,1.1093,0.39111,0.34981,0.31811,0.16604,1.64667,1.28343,1.13036,0.000561055,0.000561055,0.000561055
52,457.872,1.55815,1.20124,1.09568,0.36476,0.38259,0.32262,0.17323,1.6113,1.25984,1.12962,0.000550056,0.000550056,0.000550056
53,466.201,1.56436,1.19066,1.098,0.36661,0.3643,0.31269,0.16312,1.63062,1.27864,1.14093,0.000539057,0.000539057,0.000539057
54,474.586,1.53531,1.16929,1.0887,0.48377,0.33785,0.33363,0.17559,1.62388,1.24717,1.13739,0.000528058,0.000528058,0.000528058
55,483.04,1.55086,1.18652,1.09788,0.47076,0.3551,0.33476,0.17677,1.61995,1.23826,1.13762,0.000517059,0.000517059,0.000517059
56,491.399,1.55884,1.1884,1.09515,0.43999,0.35583,0.34117,0.17875,1.64204,1.24432,1.1382,0.00050606,0.00050606,0.00050606
57,499.849,1.55263,1.18216,1.09205,0.42885,0.33933,0.32476,0.16907,1.61472,1.24864,1.13466,0.000495062,0.000495062,0.000495062
58,508.268,1.5253,1.14899,1.08849,0.43285,0.34883,0.34671,0.1857,1.60089,1.24605,1.11885,0.000484063,0.000484063,0.000484063
59,516.716,1.52819,1.15049,1.08213,0.42008,0.36592,0.34141,0.18467,1.59507,1.23592,1.12008,0.000473064,0.000473064,0.000473064
60,525.139,1.51953,1.1568,1.08766,0.40028,0.38217,0.35629,0.18886,1.59657,1.21676,1.12149,0.000462065,0.000462065,0.000462065
61,533.544,1.51551,1.13692,1.07598,0.43477,0.37331,0.36214,0.18812,1.58856,1.19537,1.12271,0.000451066,0.000451066,0.000451066
62,542.012,1.49808,1.11721,1.06966,0.44965,0.3411,0.34593,0.18523,1.58998,1.21055,1.12121,0.000440067,0.000440067,0.000440067
63,550.441,1.5108,1.12633,1.07213,0.43421,0.35039,0.34448,0.18387,1.58932,1.20383,1.12407,0.000429068,0.000429068,0.000429068
64,558.861,1.49129,1.12181,1.0775,0.47031,0.33582,0.35187,0.18328,1.60702,1.19656,1.12661,0.000418069,0.000418069,0.000418069
65,567.29,1.46664,1.09679,1.07026,0.43466,0.37229,0.35016,0.18503,1.58497,1.19691,1.12018,0.00040707,0.00040707,0.00040707
66,575.755,1.48325,1.09825,1.06295,0.44521,0.3633,0.35434,0.1886,1.58751,1.1968,1.1191,0.000396071,0.000396071,0.000396071
67,584.028,1.48519,1.10994,1.06265,0.43244,0.37105,0.35916,0.1914,1.58586,1.21069,1.11948,0.000385073,0.000385073,0.000385073
68,592.347,1.48941,1.10458,1.07425,0.42584,0.37859,0.35246,0.18924,1.58309,1.17964,1.11438,0.000374074,0.000374074,0.000374074
69,600.66,1.45628,1.07651,1.0666,0.48379,0.33755,0.35612,0.19079,1.58968,1.20938,1.124,0.000363075,0.000363075,0.000363075
70,609.112,1.44506,1.09397,1.06933,0.47152,0.37081,0.3712,0.19934,1.57996,1.18676,1.11721,0.000352076,0.000352076,0.000352076
71,617.511,1.47415,1.08564,1.06302,0.41164,0.39251,0.36221,0.19429,1.57952,1.18438,1.11322,0.000341077,0.000341077,0.000341077
72,625.949,1.44927,1.06698,1.05941,0.44769,0.37724,0.3678,0.19819,1.56871,1.17876,1.11414,0.000330078,0.000330078,0.000330078
73,634.426,1.48308,1.09587,1.06857,0.44677,0.38228,0.36256,0.19412,1.57966,1.2098,1.11397,0.000319079,0.000319079,0.000319079
74,642.789,1.4498,1.06992,1.04509,0.50272,0.35708,0.36983,0.19771,1.58136,1.17725,1.1157,0.00030808,0.00030808,0.00030808
75,650.979,1.45956,1.06166,1.06144,0.48261,0.37742,0.38312,0.20619,1.56911,1.17871,1.11358,0.000297081,0.000297081,0.000297081
76,659.231,1.42967,1.0603,1.05507,0.45943,0.36999,0.35908,0.19199,1.57361,1.17175,1.11119,0.000286083,0.000286083,0.000286083
77,667.491,1.45193,1.06008,1.05701,0.42412,0.39162,0.36925,0.19546,1.56614,1.17807,1.10883,0.000275084,0.000275084,0.000275084
78,675.863,1.44432,1.06012,1.0477,0.46874,0.38211,0.37795,0.20301,1.55801,1.15678,1.10515,0.000264085,0.000264085,0.000264085
79,684.244,1.43677,1.04515,1.05257,0.46092,0.38843,0.38014,0.20538,1.56418,1.1626,1.10733,0.000253086,0.000253086,0.000253086
80,692.532,1.42101,1.03463,1.04782,0.46384,0.37503,0.37847,0.20379,1.55846,1.15059,1.10255,0.000242087,0.000242087,0.000242087
81,700.744,1.40469,1.03403,1.04209,0.46767,0.37039,0.36939,0.19975,1.55503,1.16128,1.10181,0.000231088,0.000231088,0.000231088
82,709.151,1.40555,1.02713,1.04287,0.42597,0.38667,0.37083,0.19978,1.56166,1.1618,1.10679,0.000220089,0.000220089,0.000220089
83,717.579,1.41214,1.02932,1.0419,0.46999,0.38416,0.37773,0.2025,1.55728,1.15691,1.10383,0.00020909,0.00020909,0.00020909
84,725.917,1.42529,1.03089,1.04869,0.48322,0.37786,0.38287,0.2058,1.56385,1.1565,1.10366,0.000198091,0.000198091,0.000198091
85,734.274,1.41343,1.02882,1.03933,0.50917,0.36926,0.38915,0.20982,1.55278,1.16559,1.10945,0.000187092,0.000187092,0.000187092
86,742.757,1.41031,1.00993,1.03329,0.47377,0.39613,0.38469,0.20926,1.5463,1.14067,1.1051,0.000176094,0.000176094,0.000176094
87,751.114,1.40381,1.00052,1.03663,0.49385,0.38169,0.38771,0.21104,1.55375,1.14615,1.10521,0.000165095,0.000165095,0.000165095
88,759.505,1.406,1.01382,1.03915,0.46717,0.38095,0.38123,0.20719,1.55313,1.14709,1.10565,0.000154096,0.000154096,0.000154096
89,767.951,1.39121,1.0015,1.03868,0.44836,0.39274,0.37861,0.20636,1.54284,1.14441,1.10253,0.000143097,0.000143097,0.000143097
90,776.328,1.39606,1.00357,1.03836,0.49483,0.37998,0.38161,0.20853,1.54017,1.14554,1.09889,0.000132098,0.000132098,0.000132098
91,807.324,1.4139,1.04908,1.04941,0.47457,0.38125,0.37337,0.20328,1.55757,1.17989,1.10518,0.000121099,0.000121099,0.000121099
92,815.497,1.39137,0.99421,1.03919,0.47914,0.36609,0.37162,0.1956,1.55851,1.16665,1.11103,0.0001101,0.0001101,0.0001101
93,823.502,1.38624,0.98488,1.03426,0.454,0.37719,0.37218,0.19925,1.5411,1.14999,1.10555,9.91012e-05,9.91012e-05,9.91012e-05
94,831.612,1.34907,0.95779,1.0316,0.42607,0.3968,0.37065,0.1995,1.54895,1.15808,1.10434,8.81023e-05,8.81023e-05,8.81023e-05
95,839.709,1.35298,0.95409,1.01986,0.45061,0.37939,0.37062,0.19847,1.55236,1.15115,1.10525,7.71034e-05,7.71034e-05,7.71034e-05
96,848.061,1.35845,0.95461,1.02671,0.45182,0.38408,0.37648,0.20053,1.54304,1.13955,1.09855,6.61045e-05,6.61045e-05,6.61045e-05
97,856.203,1.35538,0.9539,1.03042,0.48567,0.3543,0.3786,0.20462,1.5385,1.1425,1.09992,5.51056e-05,5.51056e-05,5.51056e-05
98,864.38,1.35555,0.93955,1.02543,0.4622,0.38101,0.37863,0.2052,1.53912,1.13996,1.09832,4.41067e-05,4.41067e-05,4.41067e-05
99,872.523,1.34418,0.94641,1.02258,0.45244,0.37339,0.37619,0.20076,1.54091,1.14312,1.09954,3.31078e-05,3.31078e-05,3.31078e-05
100,880.757,1.34521,0.9439,1.02337,0.4832,0.37853,0.37735,0.20215,1.54131,1.13646,1.09976,2.21089e-05,2.21089e-05,2.21089e-05
